"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Travel Time to Work (in Minutes)","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avtt","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","28","2019-2023","2022","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","23","2019-2023","2022","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","19","2019-2023","2022","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","21","2019-2023","2022","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","24","2019-2023","2022","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","20","2019-2023","2022","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","14","2019-2023","2022","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","26","2019-2023","2022","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","20","2019-2023","2022","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","24","2019-2023","2022","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","24","2019-2023","2022","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","32","2019-2023","2022","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","24","2019-2023","2022","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","23","2019-2023","2022","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","21","2019-2023","2022","Census","Arizona (State)"
