"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Home Value","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhv","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","68500","2019-2023","2022","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","207400","2019-2023","2022","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","413200","2019-2023","2022","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","247000","2019-2023","2022","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","202700","2019-2023","2022","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","136300","2019-2023","2022","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","117600","2019-2023","2022","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","414700","2019-2023","2022","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","253200","2019-2023","2022","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","186100","2019-2023","2022","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","286900","2019-2023","2022","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","312100","2019-2023","2022","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","216100","2019-2023","2022","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","392900","2019-2023","2022","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","195700","2019-2023","2022","Census","Arizona (State)"
