"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population in Owner Occupied Housing Units","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ppop_huoo","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","78.78","2019-2023","2022","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","71.23","2019-2023","2022","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","61.89","2019-2023","2022","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","74.66","2019-2023","2022","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","73.98","2019-2023","2022","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","50.39","2019-2023","2022","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","68.82","2019-2023","2022","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","67.12","2019-2023","2022","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","73.11","2019-2023","2022","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","72.38","2019-2023","2022","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","67.46","2019-2023","2022","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","79.22","2019-2023","2022","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","69.70","2019-2023","2022","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","73.89","2019-2023","2022","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","70.75","2019-2023","2022","Census","Arizona (State)"
