"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","15.27","2019-2023","2022","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","27.66","2019-2023","2022","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","39.62","2019-2023","2022","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","18.85","2019-2023","2022","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","14.59","2019-2023","2022","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","20.41","2019-2023","2022","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","13.86","2019-2023","2022","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","35.86","2019-2023","2022","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","14.89","2019-2023","2022","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","17.63","2019-2023","2022","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","35.87","2019-2023","2022","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","22.15","2019-2023","2022","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","24.07","2019-2023","2022","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","29.60","2019-2023","2022","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","16.67","2019-2023","2022","Census","Arizona (State)"
