"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpop","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","65680","2019-2023","2022","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","125458","2019-2023","2022","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","144643","2019-2023","2022","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","53610","2019-2023","2022","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","38860","2019-2023","2022","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","9452","2019-2023","2022","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","16605","2019-2023","2022","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","4491987","2019-2023","2022","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","217420","2019-2023","2022","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","107744","2019-2023","2022","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","1049947","2019-2023","2022","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","449219","2019-2023","2022","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","48209","2019-2023","2022","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","241656","2019-2023","2022","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","207685","2019-2023","2022","Census","Arizona (State)"
