County,GeoID,Commute_Time_Min,time_period,Population,Poverty_Rate,Median_Home_Value,Homeownership_Rate,Bachelor_Degree_Rate,Median_Household_Income
Apache,4001,28,2019-2023,65680,31.22,68500,78.78,15.27,40338
Cochise,4003,23,2019-2023,125458,15.54,207400,71.23,27.66,58970
Coconino,4005,19,2019-2023,144643,17.68,413200,61.89,39.62,69748
Gila,4007,21,2019-2023,53610,17.78,247000,74.66,18.85,59089
Graham,4009,24,2019-2023,38860,17.68,202700,73.98,14.59,67326
Greenlee,4011,20,2019-2023,9452,10.79,136300,50.39,20.41,75239
La Paz,4012,14,2019-2023,16605,18.44,117600,68.82,13.86,49506
Maricopa,4013,26,2019-2023,4491987,11.25,414700,67.12,35.86,85518
Mohave,4015,20,2019-2023,217420,16.83,253200,73.11,14.89,55799
Navajo,4017,24,2019-2023,107744,24.71,186100,72.38,17.63,52752
Pima,4019,24,2019-2023,1049947,14.35,286900,67.46,35.87,67929
Pinal,4021,32,2019-2023,449219,10.87,312100,79.22,22.15,77588
Santa Cruz,4023,24,2019-2023,48209,20.21,216100,69.7,24.07,53614
Yavapai,4025,23,2019-2023,241656,12.59,392900,73.89,29.6,66106
Yuma,4027,21,2019-2023,207685,16.46,195700,70.75,16.67,60417
